class,count
org.apache.derby.iapi.types.SQLTime,2
org.apache.derby.impl.drda.CcsidManager,2
org.apache.derby.impl.drda.DecryptionManager,2
org.apache.derby.impl.drda.ProtocolTestAdapter,2
org.apache.derby.impl.drda.Session,2
org.apache.derby.impl.io.VFMemoryStorageFactory,2
org.apache.derby.impl.io.vfmem.BlockedByteArrayOutputStream,2
org.apache.derby.impl.jdbc.BinaryToRawStream,2
org.apache.derby.impl.jdbc.EmbedClob,2
org.apache.derby.impl.jdbc.EmbedPreparedStatement,2
org.apache.derby.impl.jdbc.EmbedXAConnection,2
org.apache.derby.impl.jdbc.LOBStreamControl,2
org.apache.derby.impl.jdbc.authentication.AuthenticationServiceBase,2
org.apache.derby.impl.jdbc.authentication.JNDIAuthenticationSchemeBase,2
org.apache.derby.impl.load.ExportResultSetForObject,2
org.apache.derby.impl.load.ExportWriteData,2
org.apache.derby.impl.services.bytecode.BCMethod,2
org.apache.derby.impl.services.daemon.IndexStatisticsDaemonImpl,2
org.apache.derby.impl.services.jce.JCECipherFactory,2
org.apache.derby.impl.services.locks.ActiveLock,2
org.apache.derby.impl.services.locks.Timeout,2
org.apache.derby.impl.services.monitor.TopService,2
org.apache.derby.impl.services.reflect.JarLoader,2
org.apache.derby.impl.services.reflect.UpdateLoader,2
org.apache.derby.impl.sql.GenericActivationHolder,2
org.apache.derby.impl.sql.GenericColumnDescriptor,2
org.apache.derby.impl.sql.catalog.SYSCHECKSRowFactory,2
org.apache.derby.impl.sql.catalog.SYSCOLPERMSRowFactory,2
org.apache.derby.impl.sql.catalog.SYSCONGLOMERATESRowFactory,2
org.apache.derby.impl.sql.catalog.SYSFOREIGNKEYSRowFactory,2
org.apache.derby.impl.sql.catalog.SYSKEYSRowFactory,2
org.apache.derby.impl.sql.catalog.SYSPERMSRowFactory,2
org.apache.derby.impl.sql.catalog.SYSROUTINEPERMSRowFactory,2
org.apache.derby.impl.sql.catalog.SYSTABLEPERMSRowFactory,2
org.apache.derby.impl.sql.compile.BinaryRelationalOperatorNode,2
org.apache.derby.impl.sql.compile.ColumnReference,2
org.apache.derby.impl.sql.compile.DDLStatementNode,2
org.apache.derby.impl.sql.compile.FromVTI,2
org.apache.derby.impl.sql.compile.JoinNode,2
org.apache.derby.impl.sql.compile.ParseException,2
org.apache.derby.impl.sql.compile.Predicate,2
org.apache.derby.impl.sql.compile.SelectNode,2
org.apache.derby.impl.sql.compile.XMLOptTrace,2
org.apache.derby.impl.sql.compile.XMLOptTrace$QueryBlock,2
org.apache.derby.impl.sql.depend.BasicDependencyManager,2
org.apache.derby.impl.sql.execute.AggregatorInfo,2
org.apache.derby.impl.sql.execute.AutoincrementCounter,2
org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl,2
org.apache.derby.impl.sql.execute.ConstraintConstantAction,2
org.apache.derby.impl.sql.execute.ConstraintInfo,2
org.apache.derby.impl.sql.execute.CurrentOfResultSet,2
org.apache.derby.impl.sql.execute.GenericQualifier,2
org.apache.derby.impl.sql.execute.GenericScanQualifier,2
org.apache.derby.impl.sql.execute.InternalTriggerExecutionContext,2
org.apache.derby.impl.sql.execute.JarUtil,2
org.apache.derby.impl.sql.execute.ProjectRestrictResultSet,2
org.apache.derby.impl.sql.execute.RISetChecker,2
org.apache.derby.impl.sql.execute.RealResultSetStatisticsFactory,2
org.apache.derby.impl.sql.execute.RevokeRoleConstantAction,2
org.apache.derby.impl.sql.execute.ScalarAggregateResultSet,2
org.apache.derby.impl.sql.execute.SetRoleConstantAction,2
org.apache.derby.impl.sql.execute.TablePrivilegeInfo,2
org.apache.derby.impl.sql.execute.VTIResultSet,2
org.apache.derby.impl.sql.execute.WindowResultSet,2
org.apache.derby.impl.sql.execute.rts.RealHashTableStatistics,2
org.apache.derby.impl.sql.execute.xplain.XPLAINFactory,2
org.apache.derby.impl.sql.execute.xplain.XPLAINUtil,2
org.apache.derby.impl.store.access.BackingStoreHashTableFromScan,2
org.apache.derby.impl.store.access.PropertyConglomerate,2
org.apache.derby.impl.store.access.RAMAccessManager,2
org.apache.derby.impl.store.access.btree.BTree,2
org.apache.derby.impl.store.access.btree.index.B2I,2
org.apache.derby.impl.store.access.btree.index.B2IStaticCompiledInfo,2
org.apache.derby.impl.store.access.conglomerate.ConglomerateUtil,2
org.apache.derby.impl.store.access.sort.MergeInserter,2
org.apache.derby.impl.store.access.sort.MergeSort,2
org.apache.derby.impl.store.raw.data.ContainerOperation,2
org.apache.derby.impl.store.raw.data.ContainerUndoOperation,2
org.apache.derby.impl.store.raw.data.DecryptInputStream,2
org.apache.derby.impl.store.raw.data.DirectActions,2
org.apache.derby.impl.store.raw.data.EncryptContainerUndoOperation,2
org.apache.derby.impl.store.raw.data.LongColumnException,2
org.apache.derby.impl.store.raw.data.PurgeOperation,2
org.apache.derby.impl.store.raw.data.RememberBytesInputStream,2
org.apache.derby.impl.store.raw.data.TempRAFContainer,2
org.apache.derby.impl.store.raw.data.TruncateOnCommit,2
org.apache.derby.impl.store.raw.log.FileLogger,2
org.apache.derby.impl.store.raw.log.FlushedScan,2
org.apache.derby.impl.store.raw.log.LogAccessFileBuffer,2
org.apache.derby.impl.store.raw.xact.TransactionTable,2
org.apache.derby.impl.store.raw.xact.XactXAResourceManager,2
org.apache.derby.impl.store.replication.net.SlaveAddress,2
org.apache.derby.impl.store.replication.net.SocketConnection,2
org.apache.derby.impl.tools.dblook.DB_Index,2
org.apache.derby.impl.tools.dblook.DB_Key,2
org.apache.derby.impl.tools.dblook.DB_Schema,2
org.apache.derby.impl.tools.dblook.DB_Sequence,2
org.apache.derby.impl.tools.dblook.DB_View,2
org.apache.derby.impl.tools.ij.ijFatalException,2
org.apache.derby.impl.tools.ij.ijRowResult,2
org.apache.derby.impl.tools.optional.ForeignDBViews,2
org.apache.derby.optional.dump.DataFileVTI$OverflowStream,2
org.apache.derby.security.DatabasePermission,2
org.apache.derby.shared.common.drda.NaiveTrustManager,2
org.apache.derby.shared.common.error.MessageUtils,2
org.apache.derby.shared.common.error.StandardException,2
org.apache.derby.shared.common.i18n.MessageUtil,2
