class,method_name,count
org.apache.phoenix.coprocessor.IndexToolVerificationResult,getStartRow,1
org.apache.phoenix.coprocessor.IndexToolVerificationResult,getStopRow,1
org.apache.phoenix.coprocessor.IndexToolVerificationResult,setAfter,1
org.apache.phoenix.coprocessor.IndexToolVerificationResult,setBefore,1
org.apache.phoenix.coprocessor.IndexToolVerificationResult,setStartRow,1
org.apache.phoenix.coprocessor.IndexToolVerificationResult,setStopRow,1
org.apache.phoenix.coprocessor.IndexToolVerificationResult,NOVALUE,1
org.apache.phoenix.coprocessor.IndexerRegionScanner,&lt;init&gt;,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,validateIfMutationAllowedOnParent,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,loadSchema,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,loadTable,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,getFunction,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,doDropFunction,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,updateIndexState,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,getSchema,1
org.apache.phoenix.coprocessor.MetaDataRegionObserver$1,run,1
org.apache.phoenix.coprocessor.MetaDataRegionObserver$BuildIndexScheduleTask,run,1
org.apache.phoenix.coprocessor.PhoenixAccessController,getAccessControllers,1
org.apache.phoenix.coprocessor.PhoenixMasterObserver,updateParentPartitionEndTime,1
org.apache.phoenix.coprocessor.PhoenixMasterObserver,upsertDaughterPartitions,1
org.apache.phoenix.coprocessor.PhoenixMetaDataCoprocessorHost,checkAndGetInstance,1
org.apache.phoenix.coprocessor.ScanRegionObserver,doPostScannerOpen,1
org.apache.phoenix.coprocessor.SequenceRegionObserver,preAppend,1
org.apache.phoenix.coprocessor.SuffixFilter,toByteArray,1
org.apache.phoenix.coprocessor.SuffixFilter,&lt;init&gt;,1
org.apache.phoenix.coprocessor.TTLRegionScanner,&lt;init&gt;,1
org.apache.phoenix.coprocessor.TaskRegionObserver,postOpen,1
org.apache.phoenix.coprocessor.TaskRegionObserver$SelfHealingTask,NOVALUE,1
org.apache.phoenix.coprocessor.UncoveredGlobalIndexRegionScanner,&lt;init&gt;,1
org.apache.phoenix.coprocessor.UncoveredLocalIndexRegionScanner,&lt;init&gt;,1
org.apache.phoenix.coprocessor.UngroupedAggregateRegionObserver$MutationList,equals,1
org.apache.phoenix.coprocessor.UngroupedAggregateRegionScanner,descRowKeyOrderUpgrade,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCColumnDef,NOVALUE,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCColumnDef,&lt;init&gt;,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCColumnDef$Builder,clone,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCColumnDef$Builder,maybeForceBuilderInitialization,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCTableDef,getColumnsList,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCTableDef,getColumnsOrBuilderList,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCTableDef,NOVALUE,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCTableDef,&lt;init&gt;,1
org.apache.phoenix.coprocessor.generated.CDCInfoProtos$CDCTableDef$Builder,clone,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest,getTableMetadataMutationsList,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest,NOVALUE,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest,&lt;init&gt;,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest$Builder,clone,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest$Builder,maybeForceBuilderInitialization,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,getDynamicColumnsList,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,getDynamicColumnsOrBuilderList,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,NOVALUE,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,&lt;init&gt;,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData$Builder,clone,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest,getTableMetadataMutationsList,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest,&lt;init&gt;,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest$Builder,clone,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheRequest,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheRequest,&lt;init&gt;,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheRequest$Builder,clone,1
