class,method,count
org.apache.tools.ant.dispatch.DispatchUtils,execute,1
org.apache.tools.ant.filters.BaseFilterReader,setProject,1
org.apache.tools.ant.filters.ConcatFilter,initialize,1
org.apache.tools.ant.filters.ExpandProperties,add,1
org.apache.tools.ant.filters.FixCrLfFilter,setFixlast,1
org.apache.tools.ant.filters.FixCrLfFilter,setJavafiles,1
org.apache.tools.ant.filters.FixCrLfFilter,setTablength,1
org.apache.tools.ant.filters.FixCrLfFilter,NOVALUE,1
org.apache.tools.ant.filters.FixCrLfFilter$NormalizeEolFilter,read,1
org.apache.tools.ant.filters.util.ChainReaderHelper,getProject,1
org.apache.tools.ant.filters.util.ChainReaderHelper,setProject,1
org.apache.tools.ant.helper.AntXMLContext,getCurrentTarget,1
org.apache.tools.ant.helper.AntXMLContext,getCurrentTargets,1
org.apache.tools.ant.helper.AntXMLContext,getImplicitTarget,1
org.apache.tools.ant.helper.AntXMLContext,getProject,1
org.apache.tools.ant.helper.AntXMLContext,getTargets,1
org.apache.tools.ant.helper.AntXMLContext,getWrapperStack,1
org.apache.tools.ant.helper.AntXMLContext,&lt;init&gt;,1
org.apache.tools.ant.helper.AntXMLContext,addTarget,1
org.apache.tools.ant.helper.AntXMLContext,setCurrentTarget,1
org.apache.tools.ant.helper.AntXMLContext,setCurrentTargets,1
org.apache.tools.ant.helper.AntXMLContext,setImplicitTarget,1
org.apache.tools.ant.helper.ProjectHelper2$RootHandler,&lt;init&gt;,1
org.apache.tools.ant.helper.ProjectHelperImpl,parse,1
org.apache.tools.ant.input.DefaultInputHandler,handleInput,1
org.apache.tools.ant.input.GreedyInputHandler,handleInput,1
org.apache.tools.ant.input.InputRequest,&lt;init&gt;,1
org.apache.tools.ant.input.PropertyFileInputHandler,readProps,1
org.apache.tools.ant.launch.Launcher,NOVALUE,1
org.apache.tools.ant.launch.Locator,getLocationURLs,1
org.apache.tools.ant.property.ParseProperties,getProject,1
org.apache.tools.ant.property.ResolvePropertyMap,resolveAllProperties,1
org.apache.tools.ant.taskdefs.AbstractCvsTask,getErrorStream,1
org.apache.tools.ant.taskdefs.AbstractCvsTask,getOutputStream,1
org.apache.tools.ant.taskdefs.AbstractCvsTask,setExecuteStreamHandler,1
org.apache.tools.ant.taskdefs.AbstractCvsTask,runCommand,1
org.apache.tools.ant.taskdefs.AbstractJarSignerTask,getRedirector,1
org.apache.tools.ant.taskdefs.Ant,initializeProject,1
org.apache.tools.ant.taskdefs.AntStructure$DTDPrinter,printElementDecl,1
org.apache.tools.ant.taskdefs.Available,setType,1
org.apache.tools.ant.taskdefs.Available$FileDir,getValues,1
org.apache.tools.ant.taskdefs.Checksum,generateChecksums,1
org.apache.tools.ant.taskdefs.Checksum,readChecksum,1
org.apache.tools.ant.taskdefs.Checksum,getChecksumFile,1
org.apache.tools.ant.taskdefs.Classloader,setClasspath,1
org.apache.tools.ant.taskdefs.CommandLauncherTask,setVmLauncher,1
org.apache.tools.ant.taskdefs.Concat,setAppend,1
org.apache.tools.ant.taskdefs.Concat,setBinary,1
org.apache.tools.ant.taskdefs.Concat,setFilterBeforeConcat,1
org.apache.tools.ant.taskdefs.Concat,setFixLastLine,1
org.apache.tools.ant.taskdefs.Concat,setForce,1
org.apache.tools.ant.taskdefs.Concat,setForceReadOnly,1
