class,method_name,count
org.apache.maven.cli.transfer.SimplexTransferListener,transferCorrupted,1
org.apache.maven.cli.transfer.SimplexTransferListener,transferProgressed,1
org.apache.maven.cli.transfer.SimplexTransferListener,transferStarted,1
org.apache.maven.di.impl.Binding,getDependencies,1
org.apache.maven.di.impl.BindingInitializer,getDependencies,1
org.apache.maven.di.impl.InjectorImpl,&lt;init&gt;,1
org.apache.maven.di.impl.InjectorImpl,discover,1
org.apache.maven.di.impl.InjectorImpl,getBindings,1
org.apache.maven.di.impl.Types$ParameterizedTypeImpl,getActualTypeArguments,1
org.apache.maven.di.impl.Types$WildcardTypeImpl,getLowerBounds,1
org.apache.maven.di.impl.Types$WildcardTypeImpl,getUpperBounds,1
