class,method,count
org.apache.maven.artifact.repository.MavenArtifactRepository,getAuthentication,1
org.apache.maven.artifact.repository.MavenArtifactRepository,getProxy,1
org.apache.maven.artifact.repository.MavenArtifactRepository,getReleases,1
org.apache.maven.artifact.repository.MavenArtifactRepository,getSnapshots,1
org.apache.maven.artifact.repository.MavenArtifactRepository,setAuthentication,1
org.apache.maven.artifact.repository.MavenArtifactRepository,setProxy,1
org.apache.maven.artifact.repository.MavenArtifactRepository,setReleaseUpdatePolicy,1
org.apache.maven.artifact.repository.MavenArtifactRepository,setSnapshotUpdatePolicy,1
org.apache.maven.artifact.repository.metadata.AbstractRepositoryMetadata,getMetadata,1
org.apache.maven.artifact.repository.metadata.AbstractRepositoryMetadata,setMetadata,1
org.apache.maven.artifact.repository.metadata.ArtifactRepositoryMetadata,&lt;init&gt;,1
org.apache.maven.artifact.repository.metadata.DefaultRepositoryMetadataManager,getArtifactMetadataFromDeploymentRepository,1
org.apache.maven.artifact.repository.metadata.DefaultRepositoryMetadataManager,updateSnapshotMetadata,1
org.apache.maven.artifact.repository.metadata.Metadata,getPlugins,1
org.apache.maven.artifact.repository.metadata.Metadata,getVersioning,1
org.apache.maven.artifact.repository.metadata.Metadata,setPlugins,1
org.apache.maven.artifact.repository.metadata.Metadata,setVersioning,1
org.apache.maven.artifact.repository.metadata.RepositoryMetadataDeploymentException,NOVALUE,1
org.apache.maven.artifact.repository.metadata.RepositoryMetadataInstallationException,NOVALUE,1
org.apache.maven.artifact.repository.metadata.Versioning,getSnapshot,1
org.apache.maven.artifact.repository.metadata.Versioning,getSnapshotVersions,1
org.apache.maven.artifact.repository.metadata.Versioning,getVersions,1
org.apache.maven.artifact.repository.metadata.Versioning,setSnapshot,1
org.apache.maven.artifact.repository.metadata.Versioning,setSnapshotVersions,1
org.apache.maven.artifact.repository.metadata.Versioning,setVersions,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Reader,getDoubleValue,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Reader,getFloatValue,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Reader,getIntegerValue,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Reader,getLongValue,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Reader,getBooleanValue,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Reader,getDateValue,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Writer,NOVALUE,1
org.apache.maven.artifact.resolver.AbstractArtifactResolutionException,getArtifact,1
org.apache.maven.artifact.resolver.AbstractArtifactResolutionException,getRemoteRepositories,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getArtifact,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getArtifactDependencies,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getListeners,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getLocalRepository,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getManagedVersionMap,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getMirrors,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getProxies,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getRemoteRepositories,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,getServers,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setArtifact,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setArtifactDependencies,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setListeners,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setLocalRepository,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setManagedVersionMap,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setMirrors,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setProxies,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setRemoteRepositories,1
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,setServers,1
org.apache.maven.artifact.resolver.ArtifactResolutionResult,getArtifactResolutionNodes,1
