class,count
org.apache.cassandra.db.rows.UnfilteredRowIteratorWithLowerBound,2
org.apache.cassandra.db.streaming.CassandraEntireSSTableStreamWriter,2
org.apache.cassandra.db.streaming.CassandraStreamHeader$Builder,2
org.apache.cassandra.db.streaming.CassandraStreamReader,2
org.apache.cassandra.db.streaming.CassandraStreamReader$StreamDeserializer,2
org.apache.cassandra.db.view.View,2
org.apache.cassandra.dht.ByteOrderedPartitioner$1,2
org.apache.cassandra.dht.ByteOrderedPartitioner$BytesToken,2
org.apache.cassandra.fql.FullQueryLogger$Batch,2
org.apache.cassandra.gms.ArrayBackedBoundedStats,2
org.apache.cassandra.gms.FailureDetector,2
org.apache.cassandra.gms.HeartBeatState,2
org.apache.cassandra.hadoop.cql3.CqlInputFormat,2
org.apache.cassandra.hadoop.cql3.CqlRecordWriter$RangeClient,2
org.apache.cassandra.index.internal.CassandraIndex,2
org.apache.cassandra.index.internal.CassandraIndexSearcher,2
org.apache.cassandra.index.sasi.SSTableIndex,2
org.apache.cassandra.index.sasi.analyzer.AbstractAnalyzer,2
org.apache.cassandra.index.sasi.analyzer.filter.FilterPipelineBuilder,2
org.apache.cassandra.index.sasi.conf.view.View,2
org.apache.cassandra.index.sasi.disk.OnDiskIndex$DataLevel,2
org.apache.cassandra.index.sasi.disk.OnDiskIndexBuilder,2
org.apache.cassandra.index.sasi.disk.TokenTree,2
org.apache.cassandra.index.sasi.plan.Operation,2
org.apache.cassandra.index.sasi.plan.Operation$Builder,2
org.apache.cassandra.index.sasi.plan.QueryController,2
org.apache.cassandra.index.sasi.sa.IndexedTerm,2
org.apache.cassandra.index.sasi.sa.Term,2
org.apache.cassandra.index.sasi.utils.CombinedTerm,2
org.apache.cassandra.index.sasi.utils.CombinedTermIterator,2
org.apache.cassandra.index.sasi.utils.trie.PatriciaTrie$RangeEntryMap,2
org.apache.cassandra.io.sstable.Component,2
org.apache.cassandra.io.sstable.IndexSummary$IndexSummarySerializer,2
org.apache.cassandra.io.sstable.IndexSummaryRedistribution,2
org.apache.cassandra.io.sstable.SSTableHeaderFix,2
org.apache.cassandra.io.sstable.SSTableLoader,2
org.apache.cassandra.io.sstable.format.big.BigTableScanner$EmptySSTableScanner,2
org.apache.cassandra.io.util.DataIntegrityMetadata$ChecksumValidator,2
org.apache.cassandra.io.util.DataIntegrityMetadata$FileDigestValidator,2
org.apache.cassandra.io.util.FileHandle$Builder,2
org.apache.cassandra.io.util.LimitingRebufferer,2
org.apache.cassandra.io.util.Memory,2
org.apache.cassandra.io.util.SafeMemory,2
org.apache.cassandra.io.util.WrappedDataOutputStreamPlus,2
org.apache.cassandra.locator.Ec2Snitch,2
org.apache.cassandra.locator.ReplicaPlan,2
org.apache.cassandra.metrics.CassandraMetricsRegistry$MetricName,2
org.apache.cassandra.metrics.ClientMetrics,2
org.apache.cassandra.net.ForwardingInfo,2
org.apache.cassandra.net.FrameEncoder$Payload,2
org.apache.cassandra.net.RateBasedBackPressure,2
org.apache.cassandra.net.RateBasedBackPressureState,2
org.apache.cassandra.repair.RepairMessageVerbHandler,2
org.apache.cassandra.repair.Validator,2
org.apache.cassandra.repair.consistent.CoordinatorSession,2
org.apache.cassandra.schema.Types$RawBuilder$RawUDT,2
org.apache.cassandra.service.ActiveRepairService,2
org.apache.cassandra.service.ActiveRepairService$ParentRepairSession,2
org.apache.cassandra.service.QueryState,2
