class,method_name,count
org.apache.coyote.http11.Http11OutputBuffer,nextRequest,2
org.apache.coyote.http11.filters.ChunkedInputFilter,parseChunkBody,2
org.apache.coyote.http11.filters.ChunkedInputFilter,&lt;init&gt;,2
org.apache.el.ValueExpressionImpl,&lt;init&gt;,2
org.apache.el.lang.EvaluationContext,&lt;init&gt;,2
org.apache.el.lang.FunctionMapperImpl$Function,&lt;init&gt;,2
org.apache.el.lang.VariableMapperFactory,&lt;init&gt;,2
org.apache.el.parser.ELParser,&lt;init&gt;,2
org.apache.el.parser.ELParserTokenManager,&lt;init&gt;,2
org.apache.el.parser.SimpleCharStream,&lt;init&gt;,2
org.apache.el.parser.SimpleCharStream,ReInit,2
org.apache.el.util.ReflectionUtil,NOVALUE,2
org.apache.jasper.JspC,nextFile,2
org.apache.jasper.JspC,nextArg,2
org.apache.jasper.compiler.AntCompiler$SystemLogHandler,&lt;init&gt;,2
org.apache.jasper.compiler.Compiler,init,2
org.apache.jasper.compiler.Generator$GenerateVisitor,generateJspFragment,2
org.apache.jasper.compiler.JspConfig,&lt;init&gt;,2
org.apache.jasper.compiler.JspConfig,NOVALUE,2
org.apache.jasper.compiler.JspConfig$JspProperty,&lt;init&gt;,2
org.apache.jasper.compiler.JspDocumentParser,processChars,2
org.apache.jasper.compiler.JspReader,&lt;init&gt;,2
org.apache.jasper.compiler.Parser,parseXMLDeclaration,2
org.apache.jasper.compiler.Parser,parseXMLExpression,2
org.apache.jasper.compiler.Parser,parseXMLScriptlet,2
org.apache.jasper.compiler.Parser,parseBody,2
org.apache.jasper.runtime.JspFragmentHelper,&lt;init&gt;,2
org.apache.jasper.runtime.JspWriterImpl,&lt;init&gt;,2
org.apache.jasper.runtime.PageContextImpl,initialize,2
org.apache.jasper.servlet.JspCServletContext,&lt;init&gt;,2
org.apache.jasper.servlet.JspServletWrapper,&lt;init&gt;,2
org.apache.jasper.servlet.TldScanner,&lt;init&gt;,2
org.apache.juli.FileHandler,&lt;init&gt;,2
org.apache.naming.NamingContextBindingsEnumeration,&lt;init&gt;,2
org.apache.naming.SelectorContext,&lt;init&gt;,2
org.apache.naming.factory.DataSourceLinkFactory$DataSourceHandler,&lt;init&gt;,2
org.apache.tomcat.buildutil.translate.BackportTranslations,execute,2
org.apache.tomcat.dbcp.dbcp2.DataSourceConnectionFactory,&lt;init&gt;,2
org.apache.tomcat.dbcp.dbcp2.DelegatingStatement,&lt;init&gt;,2
org.apache.tomcat.dbcp.dbcp2.managed.ManagedConnection,&lt;init&gt;,2
org.apache.tomcat.dbcp.dbcp2.managed.TransactionRegistry,&lt;init&gt;,2
org.apache.tomcat.dbcp.pool2.PoolUtils$ErodingKeyedObjectPool,&lt;init&gt;,2
org.apache.tomcat.dbcp.pool2.impl.SoftReferenceObjectPool,NOVALUE,2
org.apache.tomcat.util.buf.MessageBytes,toChars,2
org.apache.tomcat.util.buf.StringCache,setByteEnabled,2
org.apache.tomcat.util.buf.StringCache,setCacheSize,2
org.apache.tomcat.util.buf.StringCache,setCharEnabled,2
org.apache.tomcat.util.buf.StringCache,setTrainThreshold,2
org.apache.tomcat.util.descriptor.LocalResolver,&lt;init&gt;,2
org.apache.tomcat.util.descriptor.tld.TldParser,&lt;init&gt;,2
org.apache.tomcat.util.descriptor.web.JspConfigDescriptorImpl,&lt;init&gt;,2
org.apache.tomcat.util.digester.Digester,&lt;init&gt;,2
org.apache.tomcat.util.http.WebdavIfHeader,&lt;init&gt;,2
org.apache.tomcat.util.http.fileupload.ByteArrayOutputStream,&lt;init&gt;,2
org.apache.tomcat.util.http.fileupload.MultipartStream,&lt;init&gt;,2
org.apache.tomcat.util.http.fileupload.impl.FileItemIteratorImpl,&lt;init&gt;,2
org.apache.tomcat.util.http.fileupload.impl.FileItemStreamImpl,&lt;init&gt;,2
org.apache.tomcat.util.json.JSONParser,&lt;init&gt;,2
org.apache.tomcat.util.json.JSONParserTokenManager,&lt;init&gt;,2
org.apache.tomcat.util.json.JavaCharStream,&lt;init&gt;,2
org.apache.tomcat.util.json.JavaCharStream,ReInit,2
org.apache.tomcat.util.log.SystemLogHandler,&lt;init&gt;,2
org.apache.tomcat.util.modeler.BaseModelMBean,preRegister,2
org.apache.tomcat.util.modeler.Registry,load,2
org.apache.tomcat.util.modeler.Registry,getRegistry,2
org.apache.tomcat.util.net.NioChannel,reset,2
org.apache.tomcat.util.net.NioEndpoint$Poller,&lt;init&gt;,2
org.apache.tomcat.util.net.SSLHostConfig,setCertificateVerificationDepth,2
org.apache.tomcat.util.net.SSLUtilBase,&lt;init&gt;,2
org.apache.tomcat.util.net.jsse.JSSESupport,&lt;init&gt;,2
org.apache.tomcat.util.scan.StandardJarScanner,processURLs,2
org.apache.tomcat.websocket.PerMessageDeflate,getMoreData,2
org.apache.tomcat.websocket.PerMessageDeflate,sendMessagePart,2
org.apache.tomcat.websocket.WsFrameBase,&lt;init&gt;,2
org.apache.tomcat.websocket.WsRemoteEndpointImplBase,sendMessageBlockInternal,2
