class,count
org.apache.cassandra.tools.nodetool.stats.StatsKeyspace,4
org.apache.cassandra.transport.Message,4
org.apache.cassandra.utils.EstimatedHistogram,4
org.apache.cassandra.utils.IntervalTree$IntervalNode,4
org.apache.cassandra.utils.MurmurHash,4
org.apache.cassandra.utils.binlog.BinLog$Builder,4
org.apache.cassandra.auth.CassandraRoleManager,3
org.apache.cassandra.auth.jmx.AuthorizationProxy,3
org.apache.cassandra.config.DataStorageSpec,3
org.apache.cassandra.config.EncryptionOptions$Builder,3
org.apache.cassandra.cql3.ColumnsExpression,3
org.apache.cassandra.cql3.CqlLexer$DFA1,3
org.apache.cassandra.cql3.Cql_Lexer$DFA13,3
org.apache.cassandra.cql3.Cql_Lexer$DFA22,3
org.apache.cassandra.cql3.Cql_Lexer$DFA25,3
org.apache.cassandra.cql3.Cql_Lexer$DFA32,3
org.apache.cassandra.cql3.Cql_Lexer$DFA35,3
org.apache.cassandra.cql3.Cql_Lexer$DFA50,3
org.apache.cassandra.cql3.Cql_Parser$DFA1,3
org.apache.cassandra.cql3.Cql_Parser$DFA121,3
org.apache.cassandra.cql3.Cql_Parser$DFA127,3
org.apache.cassandra.cql3.Cql_Parser$DFA180,3
org.apache.cassandra.cql3.Cql_Parser$DFA217,3
org.apache.cassandra.cql3.Cql_Parser$DFA246,3
org.apache.cassandra.cql3.Cql_Parser$DFA252,3
org.apache.cassandra.cql3.Cql_Parser$DFA260,3
org.apache.cassandra.cql3.Cql_Parser$DFA263,3
org.apache.cassandra.cql3.Cql_Parser$DFA264,3
org.apache.cassandra.cql3.Cql_Parser$DFA265,3
org.apache.cassandra.cql3.Cql_Parser$DFA283,3
org.apache.cassandra.cql3.Cql_Parser$DFA285,3
org.apache.cassandra.cql3.Cql_Parser$DFA287,3
org.apache.cassandra.cql3.Cql_Parser$DFA289,3
org.apache.cassandra.cql3.Cql_Parser$DFA292,3
org.apache.cassandra.cql3.Cql_Parser$DFA295,3
org.apache.cassandra.cql3.Cql_Parser$DFA296,3
org.apache.cassandra.cql3.Cql_Parser$DFA297,3
org.apache.cassandra.cql3.Cql_Parser$DFA298,3
org.apache.cassandra.cql3.Cql_Parser$DFA305,3
org.apache.cassandra.cql3.Cql_Parser$DFA311,3
org.apache.cassandra.cql3.Cql_Parser$DFA325,3
org.apache.cassandra.cql3.Cql_Parser$DFA34,3
org.apache.cassandra.cql3.Cql_Parser$DFA35,3
org.apache.cassandra.cql3.Cql_Parser$DFA50,3
org.apache.cassandra.cql3.Cql_Parser$DFA68,3
org.apache.cassandra.cql3.Cql_Parser$DFA86,3
org.apache.cassandra.cql3.Ordering$Expression,3
org.apache.cassandra.cql3.QueryProcessor,3
org.apache.cassandra.cql3.constraints.ColumnConstraints,3
org.apache.cassandra.cql3.functions.AbstractFunction,3
org.apache.cassandra.cql3.functions.JavaBasedUDFunction,3
org.apache.cassandra.cql3.functions.UDFunction,3
org.apache.cassandra.cql3.selection.Selectable$WithTypeHint,3
org.apache.cassandra.cql3.statements.schema.CreateAggregateStatement,3
org.apache.cassandra.cql3.statements.schema.CreateFunctionStatement$Raw,3
org.apache.cassandra.cql3.statements.schema.CreateIndexStatement,3
org.apache.cassandra.cql3.terms.MultiElements$Value,3
org.apache.cassandra.db.BufferDecoratedKey,3
org.apache.cassandra.db.DecoratedKey,3
org.apache.cassandra.db.ReadCommand,3
org.apache.cassandra.db.ReadExecutionController,3
org.apache.cassandra.db.compaction.LeveledCompactionStrategy,3
org.apache.cassandra.db.filter.ClusteringIndexNamesFilter,3
org.apache.cassandra.db.guardrails.CassandraPasswordValidator,3
org.apache.cassandra.db.lifecycle.LifecycleTransaction$ReaderState,3
org.apache.cassandra.db.lifecycle.View,3
org.apache.cassandra.db.marshal.PartitionerDefinedOrder,3
org.apache.cassandra.db.marshal.SetType,3
org.apache.cassandra.db.partitions.AtomicBTreePartition,3
org.apache.cassandra.db.partitions.ImmutableBTreePartition,3
org.apache.cassandra.db.repair.CassandraValidationIterator,3
org.apache.cassandra.db.rows.BTreeRow,3
org.apache.cassandra.db.rows.NativeCell,3
org.apache.cassandra.db.rows.Row$Deletion,3
org.apache.cassandra.db.streaming.CassandraEntireSSTableStreamReader,3
org.apache.cassandra.db.streaming.CassandraOutgoingFile,3
org.apache.cassandra.db.streaming.CassandraStreamHeader$CassandraStreamHeaderSerializer,3
org.apache.cassandra.db.virtual.AbstractLazyVirtualTable,3
org.apache.cassandra.dht.LocalPartitioner,3
org.apache.cassandra.dht.ReusableDecoratedKey,3
org.apache.cassandra.fqltool.ResultStore$RowReader,3
org.apache.cassandra.gms.FailureDetector,3
org.apache.cassandra.gms.Gossiper,3
org.apache.cassandra.gms.VersionedValue,3
org.apache.cassandra.index.internal.CassandraIndexSearcher,3
org.apache.cassandra.index.sai.disk.v1.V1SSTableIndex,3
org.apache.cassandra.index.sai.disk.v1.keystore.KeyStoreWriter,3
org.apache.cassandra.index.sai.disk.v1.segment.LiteralIndexSegmentTermsReader,3
org.apache.cassandra.index.sai.disk.v1.vector.BruteForceRowIdIterator,3
org.apache.cassandra.index.sai.metrics.AbstractMetrics,3
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$SkinnyPrimaryKey,3
org.apache.cassandra.index.sasi.SASIIndex,3
org.apache.cassandra.index.sasi.analyzer.NonTokenizingAnalyzer,3
org.apache.cassandra.index.sasi.analyzer.StandardAnalyzer,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree$Term,3
org.apache.cassandra.index.sasi.disk.PerSSTableIndexWriter,3
org.apache.cassandra.index.sasi.utils.MappedBuffer,3
org.apache.cassandra.index.sasi.utils.RangeIterator,3
org.apache.cassandra.index.sasi.utils.trie.AbstractPatriciaTrie,3
org.apache.cassandra.io.sstable.AbstractSSTableIterator,3
org.apache.cassandra.io.sstable.RangeAwareSSTableWriter,3
org.apache.cassandra.io.sstable.SSTableLoader,3
org.apache.cassandra.io.sstable.UnfilteredDescriptor,3
org.apache.cassandra.io.sstable.format.SortedTableVerifier,3
org.apache.cassandra.io.sstable.format.big.BigTableReader,3
org.apache.cassandra.io.sstable.format.big.BigTableScrubber,3
org.apache.cassandra.io.util.ChannelProxy,3
org.apache.cassandra.io.util.FileInputStreamPlus,3
org.apache.cassandra.io.util.PathUtils,3
org.apache.cassandra.io.util.TeeDataInputPlus,3
org.apache.cassandra.journal.Flusher$FlushRunnable$FSyncRunnable,3
org.apache.cassandra.metrics.LogLinearDecayingHistograms,3
org.apache.cassandra.metrics.SamplingManager$ResultBuilder,3
org.apache.cassandra.net.AbstractMessageHandler,3
org.apache.cassandra.net.InboundMessageHandlers,3
org.apache.cassandra.net.InternodeConnectionUtils,3
org.apache.cassandra.repair.Validator,3
org.apache.cassandra.repair.consistent.LocalSessions,3
org.apache.cassandra.security.JKSKeyProvider,3
org.apache.cassandra.service.ActiveRepairService,3
org.apache.cassandra.service.accord.AccordCache$Type$Instance,3
org.apache.cassandra.service.accord.AccordCommandStore$Caches,3
org.apache.cassandra.service.accord.AccordExecutor$SequentialExecutor,3
org.apache.cassandra.service.accord.AccordExecutorSimple,3
org.apache.cassandra.service.accord.AccordResult,3
org.apache.cassandra.service.accord.debug.AccordTracing$TracePatternState,3
org.apache.cassandra.service.accord.topology.AccordTopologyService,3
org.apache.cassandra.service.accord.txn.AbstractKeySorted,3
org.apache.cassandra.service.accord.txn.TxnReferenceValue$Constant,3
org.apache.cassandra.service.consensus.migration.ConsensusRequestRouter,3
org.apache.cassandra.service.paxos.PaxosState,3
org.apache.cassandra.service.paxos.cleanup.PaxosCleanup,3
