class,method_name,field_name,count
org.apache.maven.artifact.versioning.VersionRange,getRestrictions,restrictions,1
org.apache.maven.bridge.MavenRepositorySystem,&lt;init&gt;,artifactHandlerManager,1
org.apache.maven.bridge.MavenRepositorySystem,&lt;init&gt;,layouts,1
org.apache.maven.building.FileSource,equals,NOVALUE,1
org.apache.maven.building.StringSource,equals,NOVALUE,1
org.apache.maven.classrealm.DefaultClassRealmManager,&lt;init&gt;,delegates,1
org.apache.maven.cli.CLIManager,displayHelp,NOVALUE,1
org.apache.maven.cli.CleanArgument,cleanArgs,NOVALUE,1
org.apache.maven.cli.CliRequest,getArgs,args,1
org.apache.maven.cli.CliRequest,getRequest,request,1
org.apache.maven.cli.CliRequest,getSystemProperties,systemProperties,1
org.apache.maven.cli.CliRequest,getUserProperties,userProperties,1
org.apache.maven.cli.MavenCli,logging,NOVALUE,1
org.apache.maven.cli.event.DefaultEventSpyContext,getData,data,1
org.apache.maven.cli.event.ExecutionEventLogger,sessionStarted,totalProjects,1
org.apache.maven.cli.internal.ExtensionResolutionException,getExtension,extension,1
org.apache.maven.cli.internal.ExtensionResolutionException,&lt;init&gt;,extension,1
org.apache.maven.cli.internal.extension.model.CoreExtensions,getExtensions,extensions,1
org.apache.maven.cli.internal.extension.model.CoreExtensions,setExtensions,extensions,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getDoubleValue,NOVALUE,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getFloatValue,NOVALUE,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getIntegerValue,NOVALUE,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getLongValue,NOVALUE,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getBooleanValue,NOVALUE,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getDateValue,NOVALUE,1
org.apache.maven.cli.logging.impl.UnsupportedSlf4jBindingConfiguration,NOVALUE,supported,1
org.apache.maven.cli.logging.impl.UnsupportedSlf4jBindingConfiguration,&lt;init&gt;,NOVALUE,1
org.apache.maven.cli.logging.impl.UnsupportedSlf4jBindingConfiguration,&lt;init&gt;,supported,1
org.apache.maven.exception.ExceptionSummary,getException,exception,1
org.apache.maven.exception.ExceptionSummary,&lt;init&gt;,exception,1
org.apache.maven.execution.BuildFailure,getCause,cause,1
org.apache.maven.execution.BuildFailure,&lt;init&gt;,cause,1
org.apache.maven.execution.BuildResumptionData,getRemainingProjects,remainingProjects,1
org.apache.maven.execution.BuildResumptionData,&lt;init&gt;,remainingProjects,1
org.apache.maven.execution.BuildSummary,getProject,project,1
org.apache.maven.execution.DefaultBuildResumptionDataRepository,persistResumptionData,NOVALUE,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getData,data,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getGoals,goals,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getLocalRepository,localRepository,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getMirrors,mirrors,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getPluginArtifactRepositories,pluginArtifactRepositories,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getPluginGroups,pluginGroups,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProfileActivation,profileActivation,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProfiles,profiles,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProjectActivation,projectActivation,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProjectBuildingRequest,projectBuildingRequest,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProxies,proxies,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getRemoteRepositories,remoteRepositories,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getServers,servers,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getStartTime,startTime,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getSystemProperties,systemProperties,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getToolchains,toolchains,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getUserProperties,userProperties,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setLocalRepository,localRepository,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setProjectBuildingConfiguration,projectBuildingRequest,1
