class,method,field,count
org.apache.phoenix.compile.JoinCompiler$JoinTable,getPrefilterAcceptedJoinSpecs,prefilterAcceptedTables,1
org.apache.phoenix.compile.JoinCompiler$LocalIndexColumnRef,equals,NOVALUE,1
org.apache.phoenix.compile.JoinCompiler$Table,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.compile.JoinCompiler$Table,getDynamicColumns,dynamicColumns,1
org.apache.phoenix.compile.JoinCompiler$Table,getPostFilters,postFilters,1
org.apache.phoenix.compile.JoinCompiler$Table,getPreFilters,preFilters,1
org.apache.phoenix.compile.JoinCompiler$Table,getTableRef,tableRef,1
org.apache.phoenix.compile.ListJarsQueryPlan,getContext,context,1
org.apache.phoenix.compile.ListJarsQueryPlan,&lt;init&gt;,stmt,1
org.apache.phoenix.compile.OpenStatementCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.OrderPreservingTracker,&lt;init&gt;,context,1
org.apache.phoenix.compile.OrderPreservingTracker,&lt;init&gt;,inputOrderBys,1
org.apache.phoenix.compile.OrderPreservingTracker$TrackOrderByContext,isOrderPreserving,NOVALUE,1
org.apache.phoenix.compile.PostDDLCompiler,&lt;init&gt;,connection,1
org.apache.phoenix.compile.PostIndexDDLCompiler,getDataColumnNames,dataColumnNames,1
org.apache.phoenix.compile.PostIndexDDLCompiler,getIndexColumnNames,indexColumnNames,1
org.apache.phoenix.compile.PostIndexDDLCompiler,&lt;init&gt;,connection,1
org.apache.phoenix.compile.PostIndexDDLCompiler,&lt;init&gt;,dataTableRef,1
org.apache.phoenix.compile.PostLocalIndexDDLCompiler,&lt;init&gt;,connection,1
org.apache.phoenix.compile.QueryCompiler,&lt;init&gt;,bindManager,1
org.apache.phoenix.compile.QueryCompiler,&lt;init&gt;,sequenceManager,1
org.apache.phoenix.compile.QueryCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.QueryCompiler,&lt;init&gt;,targetColumns,1
org.apache.phoenix.compile.ScanRanges,getSlotSpans,slotSpan,1
org.apache.phoenix.compile.SequenceManager,&lt;init&gt;,statement,1
