class,method,field,count
org.apache.cassandra.config.EncryptionOptions,acceptedProtocols,TLS_PROTOCOL_SUBSTITUTION,1
org.apache.cassandra.config.EncryptionOptions,acceptedProtocols,accepted_protocols,1
org.apache.cassandra.config.EncryptionOptions,&lt;init&gt;,accepted_protocols,1
org.apache.cassandra.config.EncryptionOptions,equals,enabled,1
org.apache.cassandra.config.EncryptionOptions,equals,optional,1
org.apache.cassandra.config.EncryptionOptions$ServerEncryptionOptions,equals,NOVALUE,1
org.apache.cassandra.config.ParameterizedClass,equals,NOVALUE,1
org.apache.cassandra.config.TransparentDataEncryptionOptions,equals,NOVALUE,1
org.apache.cassandra.config.YamlConfigurationLoader,loadConfig,storageConfigURL,1
org.apache.cassandra.cql3.BatchQueryOptions,getQueryOrIdList,queryOrIdList,1
org.apache.cassandra.cql3.CQL3Type$Collection,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Collection,&lt;init&gt;,type,1
org.apache.cassandra.cql3.CQL3Type$Custom,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Custom,&lt;init&gt;,type,1
org.apache.cassandra.cql3.CQL3Type$Native,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Tuple,getType,type,1
org.apache.cassandra.cql3.CQL3Type$UserDefined,getType,type,1
org.apache.cassandra.cql3.Constants$Literal,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cql3.Constants$Marker,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cql3.CqlLexer,mTokens,NOVALUE,1
org.apache.cassandra.cql3.CqlLexer$DFA1,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.CqlLexer$DFA1,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.CqlLexer$DFA1,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.CqlParser,NOVALUE,tokenNames,1
org.apache.cassandra.cql3.Cql_Lexer,NOVALUE,gCql,1
org.apache.cassandra.cql3.Cql_Lexer,NOVALUE,gParent,1
org.apache.cassandra.cql3.Cql_Lexer$DFA10,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA10,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA10,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA24,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA24,&lt;init&gt;,this$0,1
